,SPY,AGG,QQQ,GLD,VNQ,VWO,TLT,LQD
2020-01-01,-0.005818133932196611,0.0003321848641126086,-0.004508033152782492,-0.007340474269280665,0.0029494655497209685,-0.0113339848624942,0.0013352298114849238,0.007449972952940581
2020-01-02,-0.001393597908767296,-0.0010725773386205274,0.01271269384169511,0.0023927648275408934,0.002535533011006816,0.008246233320565158,0.00048095275157411456,-0.00916245272590013
2020-01-03,0.007581990206366962,-0.0003676712387683382,0.015457975951487613,0.01318042845894275,0.004216590490727006,0.016528828881099616,-0.00797401557372709,-0.0031141731294921605
2020-01-04,0.004442128765703237,-0.0064987334914051375,0.00489676940123968,-0.002376031708492033,0.008848325763297638,0.011513320678828518,-0.0010992589956071548,-0.0035331858344674694
2020-01-05,-0.007997079008387333,0.005307098471072763,-0.000641300964241529,0.010756676511483055,-0.0017819494537664787,0.004955791123487606,0.012399101414093667,-9.940490315921412e-06
2020-01-06,-0.007464583582858869,-0.002919150637133093,-0.008067756060058598,-0.008526489730744439,-0.010151159331485159,-0.0038001682163999765,0.0034169027585280124,-0.003393260217868574
2020-01-07,-0.0036155763566495572,0.003931697295014529,-0.01681055450432238,0.004911679882363325,0.00018721547127947447,0.002901103370170006,0.007533487551076717,0.009798626489754948
2020-01-08,0.007544686633998035,0.0062357064505428935,0.009689350546033445,-0.0002452961168855721,0.014422368507903715,0.008605977408169358,0.005733669628082983,0.0005091144094185011
2020-01-09,-0.006958005579529195,-0.00827029287812118,0.0011371292261043331,-0.010444445190196251,-0.006500096789870778,-0.017092023165285488,-0.005841977156611861,-0.004174898512112057
2020-01-10,0.00031346147164106964,-0.008867234928529647,0.005585049672354453,-0.010798570458561148,0.0033812578183487507,0.003977677106291197,-0.020776756422716022,-0.013620789415850279
2020-01-11,0.0019014807138406323,0.004108518562286581,0.010533366985008438,-0.0015691922575652377,-0.005353176080831975,0.000700214512847329,0.007395506539566448,0.007479193653726178
2020-01-12,0.005227874101474182,0.0033222679470258564,0.011127342895696998,-0.006361643695484042,0.007984716594712732,0.00415718175460394,0.00020820616210001083,-0.0012501788317119571
2020-01-13,-0.002470582589423303,0.0015918259304242286,-0.0018324286229931819,-0.007389534101301703,-0.006291362979760916,0.0005898062203674073,0.001895485506118152,-0.002526802062170254
2020-01-14,0.005198376363896905,0.00598203021451483,0.010798019875327119,0.0017140566822673026,-0.0008017268159951944,-0.007927746097350712,0.011212180454239181,-0.0004002656649945898
2020-01-15,-0.0008713355711354115,-0.00899785333777123,0.019122814208319544,-0.012251109030960536,-0.00809641609715098,-0.006644239270530244,-0.010087086460459405,-0.004373065415422678
2020-01-16,0.0024575218497107946,0.007498921141772907,-0.015389165441706341,0.010189475888262212,-0.013512713401144958,-0.011363446479234204,0.007682629188841652,0.003073232565845279
2020-01-17,0.0009052025748793114,-0.006057660295085759,-0.010656352661999434,-0.003219870077330492,0.003322991844558519,0.008349223388751555,-0.0012076420701122538,-0.005164337356074634
